_G Int,G FWHM,G Shift,_2D Int,2D FWHM,2D Shift,_2D_MassCenter,_D Int,2D/G,D/G,_R Int,_Rp Int,R/G,Rp/G,_Target
1896.024,14.3157,1585.613,934.0715,55.5828,2695.129,2692.9878,58.0013,0.492647509,0.030591016,0,0,0,0,BLG-AB
1687.0506,15.6321,1584.621,899.0771,54.5323,2690.874,2689.5723,61.0029,0.532928354,0.036159496,0,0,0,0,BLG-AB
1940.9559,13.7604,1585.207,939.0847,54.526,2694.397,2692.4392,83.0026,0.483825882,0.042763774,0,0,0,0,BLG-AB
1739.0156,14.8812,1587.117,843.0471,56.409,2695.885,2693.4465,53.0047,0.484784093,0.030479715,0,0,0,0,BLG-AB
1549.0165,17.2422,1586.281,912.0527,55.3474,2694.579,2692.8797,52.0041,0.588794697,0.033572334,0,0,0,0,BLG-AB
1759.0021,14.9479,1585.623,916.0828,55.4263,2693.776,2691.8219,56.0002,0.520796877,0.031836346,0,0,0,0,BLG-AB
1715.0318,15.412,1585.408,976.0449,53.7296,2694.612,2692.7594,65.005,0.569111838,0.037903087,0,0,0,0,BLG-AB
1526.0448,16.8679,1585.929,921.0962,56.2338,2695.441,2693.8062,57.0008,0.603583984,0.037351983,0,0,0,0,BLG-AB
1613.0243,16.247,1587.051,886.0034,55.5267,2696.409,2694.035,59.0018,0.549280876,0.03657837,0,0,0,0,BLG-AB
1751.0075,14.7157,1585.792,921.0962,53.2109,2693.816,2692.0625,64.0045,0.526037838,0.036552956,0,0,0,0,BLG-AB
1670.0492,15.4542,1586.543,916.0828,54.3972,2695.897,2693.6602,70.0017,0.548536414,0.041915951,0,0,0,0,BLG-AB
1595.0112,17.2094,1585.232,916.0828,55.5925,2693.649,2691.9168,66.0056,0.57434255,0.041382531,0,0,0,0,BLG-AB
1717.0051,15.9454,1585.159,959.0393,54.6784,2694.684,2693.0681,87.0047,0.558553554,0.05067236,0,0,0,0,BLG-AB
1741.0396,14.9547,1585.41,929.0583,54.5641,2694.691,2692.645,79.0005,0.533622727,0.045375476,0,0,0,0,BLG-AB
1767.0473,15.5496,1586.502,926.011,55.346,2698.012,2695.491,104.0018,0.524044263,0.058856263,0,0,0,0,BLG-AB
1666.0013,15.6747,1586.544,890.0337,55.2982,2695.029,2692.9755,63.004,0.534233497,0.037817498,0,0,0,0,BLG-AB
1649.0001,15.752,1585.898,878.0413,55.6736,2693.032,2691.1728,63.004,0.532468919,0.038207396,0,0,0,0,BLG-AB
1639.032,16.0924,1585.759,934.0715,56.0178,2694.982,2693.2197,64.0045,0.569892168,0.039050183,0,0,0,0,BLG-AB
1628.0015,15.7739,1587.61,902.0261,56.4194,2698.179,2695.626,65.005,0.554069575,0.039929324,0,0,0,0,BLG-AB
1471.0437,17.6614,1586.479,911.0696,56.4125,2695.557,2694.2697,62.0034,0.61933551,0.042149258,0,0,0,0,BLG-AB
