G FWHM,G Shift,2D FWHM,2D Shift,2D/G,D/G,R/G,R'/G,_Target
14.3004,1585.225,31.2042,2681.005,2.368226399,0.055832463,0,0,SLG
13.259,1590.236,32.673,2675.83,1.166883394,0.065157105,0,0,SLG
14.8058,1590.413,31.7124,2684.207,1.779287962,0.073577104,0,0,SLG
18.7972,1590.47,38.6953,2682.965,1.191800068,0.090045777,0,0,SLG
14.4769,1587.068,28.7753,2681.402,2.523535195,0.051310908,0,0,SLG
13.492,1593.013,34.7277,2681.571,1.07956805,0.070805793,0,0,SLG
15.5267,1580.967,29.7915,2671.745,1.97219519,0.114945276,0,0,SLG
15.0943,1586.119,32.8754,2680.343,2.300632419,0.056392746,0,0,SLG
16.5038,1586.556,30.6988,2680.578,2.688261819,0.05936978,0,0,SLG
12.3045,1595.977,32.9971,2688.048,1.103142572,0.068418482,0,0,SLG
13.6322,1582.05,28.4529,2672.95,2.339111435,0.06804098,0,0,SLG
14.2513,1583.269,26.9844,2675.476,2.593557762,0.059671613,0,0,SLG
16.0559,1587.196,29.6109,2681.821,2.692831777,0.062656891,0,0,SLG
14.2518,1583.344,27.8434,2677.455,2.611854503,0.076051496,0,0,SLG
15.2002,1586.415,29.341,2680.694,2.581615888,0.056863472,0,0,SLG
14.2395,1583.852,27.4857,2675.901,2.460685259,0.060268412,0,0,SLG
13.6328,1588.701,27.3433,2683.678,2.266550952,0.049188055,0,0,SLG
13.3421,1583.076,27.9749,2675.536,2.464034616,0.060878183,0,0,SLG
15.3169,1585.725,30.4604,2680.11,2.338477011,0.063372036,0,0,SLG
14.8322,1587.159,28.1728,2682.434,2.376879664,0.054569575,0,0,SLG
16.7944,1581.809,33.9451,2673.712,2.25261172,0.111460549,0,0,SLG
12.0305,1593.335,33.8434,2681.285,1.051333313,0.070488686,0,0,SLG
14.7415,1587.909,30.4555,2682.629,2.373409249,0.049840379,0,0,SLG
19.7383,1589.047,32.1812,2684.387,2.960825933,0.068762279,0,0,SLG
16.2142,1583.364,28.9413,2676.475,2.77254692,0.067189663,0,0,SLG
16.3119,1584.253,28.4717,2677.039,2.885549977,0.057398059,0,0,SLG
17.7786,1588.797,36.5706,2677.741,1.730949585,0.09055476,0,0,SLG
13.8564,1585.505,28.4786,2678.912,2.391098833,0.059066572,0,0,SLG
15.5717,1587.222,29.1728,2681.846,2.41553692,0.062240545,0,0,SLG
16.8686,1587.401,30.573,2681.24,2.708457491,0.061157901,0,0,SLG
13.8058,1590.597,30.9365,2684.186,1.662713489,0.071029883,0,0,SLG
15.0158,1583.168,28.8435,2676.325,2.671740065,0.055897489,0,0,SLG
13.3307,1592.188,32.8565,2684.825,1.426510092,0.065236223,0,0,SLG
15.0718,1586.388,29.1158,2679.504,1.999655238,0.11154212,0,0,SLG
12.0795,1587.787,29.9735,2680.632,1.71825833,0.064724633,0,0,SLG
15.1196,1585.383,29.7002,2679.482,2.23385822,0.061343777,0,0,SLG
14.6435,1587.989,29.6654,2681.682,2.370595848,0.043407038,0,0,SLG
13.7144,1589.187,32.2561,2681.235,1.655280608,0.157313432,0,0,SLG
18.0317,1585.855,30.8616,2680.454,2.699147234,0.076049739,0,0,SLG
17.2753,1588.152,30.6132,2683.365,2.641303803,0.052379655,0,0,SLG
15.0557,1583.493,28.675,2676.516,2.572815155,0.126811444,0,0,SLG
15.6627,1586.567,33.8669,2676.805,1.242712022,0.074176702,0,0,SLG
14.9569,1585.271,28.1898,2679.754,2.500095701,0.089066738,0,0,SLG
14.9653,1591.434,34.7693,2680.321,1.071739938,0.069813009,0,0,SLG
16.397,1588.737,38.3393,2679.522,1.465739678,0.171571218,0,0,SLG
15.1214,1585.638,28.9501,2679.884,2.581604185,0.059603939,0,0,SLG
12.6487,1586.795,28.7132,2679.083,2.030903494,0.073375604,0,0,SLG
14.2648,1584.097,27.8642,2677.574,2.494292722,0.057117636,0,0,SLG
18.3566,1587.124,30.4147,2682.537,2.943974843,0.071057766,0,0,SLG
15.3206,1588.518,30.6274,2682.577,2.399814073,0.047934883,0,0,SLG
17.0303,1586.296,29.8587,2681.858,2.821812273,0.060162962,0,0,SLG
13.5858,1588.054,28.0259,2682.647,2.286113027,0.057010843,0,0,SLG
18.0659,1589.613,31.9798,2683.643,1.804461004,0.113635251,0,0,SLG
15.5375,1582.224,27.3293,2674.864,2.773795925,0.172077951,0,0,SLG
14.1869,1583.982,27.6517,2676.253,2.491292899,0.061289538,0,0,SLG
15.111,1581.187,35.9245,2673.938,2.311097344,0.065462965,0,0,SLG
14.7308,1586.141,29.8788,2679.07,2.169772405,0.086792008,0,0,SLG
13.4999,1591.243,32.3239,2679.186,1.277229159,0.061817712,0,0,SLG
17.5374,1587.483,29.9514,2683.517,2.686010447,0.052239568,0,0,SLG
15.1807,1585.744,28.5929,2680.252,2.498620921,0.065861517,0,0,SLG
13.8113,1594.593,32.1342,2688.723,1.483030663,0.057551252,0,0,SLG
15.0166,1587.54,28.6942,2682.515,2.554360807,0.05031759,0,0,SLG
16.0973,1588.037,29.7717,2682.692,2.64861235,0.056495889,0,0,SLG
14.3045,1588.002,29.3455,2682.968,2.368450228,0.067855707,0,0,SLG
14.4036,1583.859,26.9948,2675.889,2.632407529,0.055090227,0,0,SLG
13.3277,1586.437,33.6952,2680.073,1.900064424,0.069662422,0,0,SLG
